Entry Date,Client Name,Client Code,GL Account Number,Transaction Amount
04052020,skxtbmorqg,0IHBN61,00000000427,27889
04052020,eubedwggra,S3BPJHL,00000000239,3137
04052020,lugraxgtdl,UXEF10Z,00000000434,33957
04052020,sufwetkndt,X9KQSIN,00000000109,6414
04052020,jvoocqsaoe,M482FOI,00000000106,27796
04052020,pekvsblwsp,BQ56I3Q,00000000662,31015
04052020,xubillqdah,AYP1C8V,00000000807,10682
04052020,xyqkeucbam,8QEXLPK,00000000152,20634
04052020,hdmlrfgtae,YC96XYN,00000000108,10498
04052020,uoqldgabrm,WHHQASK,00000000239,17600
04052020,hekctgfgxq,LHNO10H,00000000633,47756
04052020,lvpjahvhmr,LB8BL5C,00000000884,31169
04052020,ejuxcmmaek,OGSKED0,00000000681,5549
04052020,hanjxzlwyn,3AI8OMB,00000000777,13427
04052020,pjfnsahhoq,EVPF8W6,00000000840,25036
04052020,dgqmllimnt,BJQ64E2,00000000257,46563
04052020,mnvuswvobz,JNEJDON,00000000347,2268
04052020,fulfkerotr,K8I0MP2,00000000625,34182
04052020,qkleaqhbkl,1YXCKNC,00000000141,12256
04052020,hxebqiqitt,F7DSA19,00000000579,17485
04052020,vubbqzxasd,R9ZHNO0,00000000363,18400
04052020,nrvpsyuklj,3WJSA5K,00000000100,10478
04052020,gnkvbanala,77K4JHP,00000000248,14910
04052020,xfhlcyeynf,246X19K,00000000195,13123
04052020,xccihzaaiz,EHTRXJI,00000000782,19591
04052020,vpvaugersy,UMFGI73,00000000200,24682
04052020,kygemlzuxu,7P2A772,00000000509,35508
04052020,iqfamrfkkp,JZMGHOB,00000000783,23151
04052020,mqpclwwqhy,5KHDF3E,00000000442,29533
04052020,dpjzmffbsq,UAK14JA,00000000146,48205
04052020,bbwsfcfjci,N98W1UV,00000000293,10922
04052020,fimrejkfty,5CVNYZV,00000000299,41156
04052020,othuvyqrbi,L64QMHE,00000000786,14309
04052020,tcfgbvnvsh,JVOS6XW,00000000891,49173
04052020,whhijhyiuj,5WH0QHI,00000000659,40375
04052020,lendyqsaor,H0MC52R,00000000540,41819
04052020,eeqofmwauu,QKC05WS,00000000347,4057
04052020,dtnyxdiqhe,OKJWYWT,00000000811,4445
04052020,krfqoyrxrq,B4L0SLH,00000000532,40734
04052020,uebyjhhdcu,01GG7EY,00000000798,43897
04052020,bjjahzlkps,BV3MOY8,00000000367,37164
04052020,qhjzwpexrv,7ZBWPQO,00000000154,11567
04052020,tarlvgkkbs,ONNDLYP,00000000774,45281
04052020,adajssvqom,H59RG6S,00000000362,9412
04052020,gswbienbrg,6YKL9B2,00000000186,20610
04052020,rlqyafbelx,AKOVMWN,00000000163,12096
04052020,stzyeonwma,RU4TNXA,00000000657,14515
04052020,nhkeibxbhk,KNX37ED,00000000303,12118
04052020,ivqrqvswnh,HZ0I2XP,00000000857,47700
05052020,skxtbmorqg,0IHBN61,00000000366,1104
05052020,eubedwggra,S3BPJHL,00000000542,35308
05052020,lugraxgtdl,UXEF10Z,00000000351,21081
05052020,sufwetkndt,X9KQSIN,00000000403,5338
05052020,jvoocqsaoe,M482FOI,00000000878,18431
05052020,pekvsblwsp,BQ56I3Q,00000000342,14082
05052020,xubillqdah,AYP1C8V,00000000293,29614
05052020,xyqkeucbam,8QEXLPK,00000000329,24216
05052020,hdmlrfgtae,YC96XYN,00000000697,34808
05052020,uoqldgabrm,WHHQASK,00000000405,5531
05052020,hekctgfgxq,LHNO10H,00000000760,25977
05052020,lvpjahvhmr,LB8BL5C,00000000504,47496
05052020,ejuxcmmaek,OGSKED0,00000000400,16400
05052020,hanjxzlwyn,3AI8OMB,00000000431,26915
05052020,pjfnsahhoq,EVPF8W6,00000000798,41067
05052020,dgqmllimnt,BJQ64E2,00000000871,41793
05052020,mnvuswvobz,JNEJDON,00000000445,24482
05052020,fulfkerotr,K8I0MP2,00000000586,22371
05052020,qkleaqhbkl,1YXCKNC,00000000772,26138
05052020,hxebqiqitt,F7DSA19,00000000119,22813
05052020,vubbqzxasd,R9ZHNO0,00000000749,31171
05052020,nrvpsyuklj,3WJSA5K,00000000757,24981
05052020,gnkvbanala,77K4JHP,00000000673,5600
05052020,xfhlcyeynf,246X19K,00000000297,48829
05052020,xccihzaaiz,EHTRXJI,00000000782,5855
05052020,vpvaugersy,UMFGI73,00000000218,11582
05052020,kygemlzuxu,7P2A772,00000000247,21799
05052020,iqfamrfkkp,JZMGHOB,00000000277,7826
05052020,mqpclwwqhy,5KHDF3E,00000000167,5595
05052020,dpjzmffbsq,UAK14JA,00000000800,3420
05052020,bbwsfcfjci,N98W1UV,00000000365,33881
05052020,fimrejkfty,5CVNYZV,00000000110,33084
05052020,othuvyqrbi,L64QMHE,00000000337,31266
05052020,tcfgbvnvsh,JVOS6XW,00000000867,41825
05052020,whhijhyiuj,5WH0QHI,00000000881,5849
05052020,lendyqsaor,H0MC52R,00000000736,36680
05052020,eeqofmwauu,QKC05WS,00000000731,40110
05052020,dtnyxdiqhe,OKJWYWT,00000000180,5773
05052020,krfqoyrxrq,B4L0SLH,00000000863,19328
05052020,uebyjhhdcu,01GG7EY,00000000157,33206
05052020,bjjahzlkps,BV3MOY8,00000000241,37958
05052020,qhjzwpexrv,7ZBWPQO,00000000528,38978
05052020,tarlvgkkbs,ONNDLYP,00000000163,23234
05052020,adajssvqom,H59RG6S,00000000224,9927
05052020,gswbienbrg,6YKL9B2,00000000235,7991
05052020,rlqyafbelx,AKOVMWN,00000000892,25253
05052020,stzyeonwma,RU4TNXA,00000000564,32966
05052020,nhkeibxbhk,KNX37ED,00000000259,13075
05052020,ivqrqvswnh,HZ0I2XP,00000000872,16542
06052020,skxtbmorqg,0IHBN61,00000000134,24499
06052020,eubedwggra,S3BPJHL,00000000689,24146
06052020,lugraxgtdl,UXEF10Z,00000000862,28412
06052020,sufwetkndt,X9KQSIN,00000000247,24447
06052020,jvoocqsaoe,M482FOI,00000000120,33291
06052020,pekvsblwsp,BQ56I3Q,00000000355,19403
06052020,xubillqdah,AYP1C8V,00000000465,28005
06052020,xyqkeucbam,8QEXLPK,00000000207,18229
06052020,hdmlrfgtae,YC96XYN,00000000769,37525
06052020,uoqldgabrm,WHHQASK,00000000508,861
06052020,hekctgfgxq,LHNO10H,00000000363,40582
06052020,lvpjahvhmr,LB8BL5C,00000000270,16995
06052020,ejuxcmmaek,OGSKED0,00000000294,49809
06052020,hanjxzlwyn,3AI8OMB,00000000398,38521
06052020,pjfnsahhoq,EVPF8W6,00000000254,26486
06052020,dgqmllimnt,BJQ64E2,00000000276,1039
06052020,mnvuswvobz,JNEJDON,00000000356,10685
06052020,fulfkerotr,K8I0MP2,00000000752,12331
06052020,qkleaqhbkl,1YXCKNC,00000000822,49385
06052020,hxebqiqitt,F7DSA19,00000000243,368
06052020,vubbqzxasd,R9ZHNO0,00000000113,32410
06052020,nrvpsyuklj,3WJSA5K,00000000859,14532
06052020,gnkvbanala,77K4JHP,00000000366,40858
06052020,xfhlcyeynf,246X19K,00000000295,26659
06052020,xccihzaaiz,EHTRXJI,00000000331,31762
06052020,vpvaugersy,UMFGI73,00000000317,12506
06052020,kygemlzuxu,7P2A772,00000000842,41548
06052020,iqfamrfkkp,JZMGHOB,00000000295,26954
06052020,mqpclwwqhy,5KHDF3E,00000000364,22866
06052020,dpjzmffbsq,UAK14JA,00000000728,12425
06052020,bbwsfcfjci,N98W1UV,00000000769,35743
06052020,fimrejkfty,5CVNYZV,00000000153,34672
06052020,othuvyqrbi,L64QMHE,00000000649,38625
06052020,tcfgbvnvsh,JVOS6XW,00000000391,9670
06052020,whhijhyiuj,5WH0QHI,00000000310,12126
06052020,lendyqsaor,H0MC52R,00000000406,43736
06052020,eeqofmwauu,QKC05WS,00000000252,3762
06052020,dtnyxdiqhe,OKJWYWT,00000000715,28396
06052020,krfqoyrxrq,B4L0SLH,00000000572,42874
06052020,uebyjhhdcu,01GG7EY,00000000881,30215
06052020,bjjahzlkps,BV3MOY8,00000000501,3315
06052020,qhjzwpexrv,7ZBWPQO,00000000229,48620
06052020,tarlvgkkbs,ONNDLYP,00000000551,20585
06052020,adajssvqom,H59RG6S,00000000225,48923
06052020,gswbienbrg,6YKL9B2,00000000750,28425
06052020,rlqyafbelx,AKOVMWN,00000000625,39845
06052020,stzyeonwma,RU4TNXA,00000000285,25814
06052020,nhkeibxbhk,KNX37ED,00000000564,36526
06052020,ivqrqvswnh,HZ0I2XP,00000000330,26967
07052020,skxtbmorqg,0IHBN61,00000000512,18996
07052020,eubedwggra,S3BPJHL,00000000709,27550
07052020,lugraxgtdl,UXEF10Z,00000000203,5767
07052020,sufwetkndt,X9KQSIN,00000000868,2135
07052020,jvoocqsaoe,M482FOI,00000000260,25095
07052020,pekvsblwsp,BQ56I3Q,00000000142,28339
07052020,xubillqdah,AYP1C8V,00000000393,24668
07052020,xyqkeucbam,8QEXLPK,00000000721,29185
07052020,hdmlrfgtae,YC96XYN,00000000107,4165
07052020,uoqldgabrm,WHHQASK,00000000665,22328
07052020,hekctgfgxq,LHNO10H,00000000583,31504
07052020,lvpjahvhmr,LB8BL5C,00000000533,2114
07052020,ejuxcmmaek,OGSKED0,00000000555,24752
07052020,hanjxzlwyn,3AI8OMB,00000000662,25030
07052020,pjfnsahhoq,EVPF8W6,00000000535,45171
07052020,dgqmllimnt,BJQ64E2,00000000549,25420
07052020,mnvuswvobz,JNEJDON,00000000287,1307
07052020,fulfkerotr,K8I0MP2,00000000349,15706
07052020,qkleaqhbkl,1YXCKNC,00000000394,44473
07052020,hxebqiqitt,F7DSA19,00000000801,40222
07052020,vubbqzxasd,R9ZHNO0,00000000446,29708
07052020,nrvpsyuklj,3WJSA5K,00000000207,2899
07052020,gnkvbanala,77K4JHP,00000000430,411
07052020,xfhlcyeynf,246X19K,00000000135,2310
07052020,xccihzaaiz,EHTRXJI,00000000286,1555
07052020,vpvaugersy,UMFGI73,00000000291,33856
07052020,kygemlzuxu,7P2A772,00000000621,11105
07052020,iqfamrfkkp,JZMGHOB,00000000550,31115
07052020,mqpclwwqhy,5KHDF3E,00000000836,42163
07052020,dpjzmffbsq,UAK14JA,00000000559,16948
07052020,bbwsfcfjci,N98W1UV,00000000550,6023
07052020,fimrejkfty,5CVNYZV,00000000782,10273
07052020,othuvyqrbi,L64QMHE,00000000890,34291
07052020,tcfgbvnvsh,JVOS6XW,00000000608,12212
07052020,whhijhyiuj,5WH0QHI,00000000398,780
07052020,lendyqsaor,H0MC52R,00000000560,42455
07052020,eeqofmwauu,QKC05WS,00000000452,19822
07052020,dtnyxdiqhe,OKJWYWT,00000000370,24936
07052020,krfqoyrxrq,B4L0SLH,00000000560,6714
07052020,uebyjhhdcu,01GG7EY,00000000419,7278
07052020,bjjahzlkps,BV3MOY8,00000000766,41696
07052020,qhjzwpexrv,7ZBWPQO,00000000481,49518
07052020,tarlvgkkbs,ONNDLYP,00000000706,17579
07052020,adajssvqom,H59RG6S,00000000346,18053
07052020,gswbienbrg,6YKL9B2,00000000893,24693
07052020,rlqyafbelx,AKOVMWN,00000000598,17695
07052020,stzyeonwma,RU4TNXA,00000000261,18925
07052020,nhkeibxbhk,KNX37ED,00000000392,48122
07052020,ivqrqvswnh,HZ0I2XP,00000000320,11016
08052020,skxtbmorqg,0IHBN61,00000000709,47614
08052020,eubedwggra,S3BPJHL,00000000547,39514
08052020,lugraxgtdl,UXEF10Z,00000000196,23602
08052020,sufwetkndt,X9KQSIN,00000000192,12174
08052020,jvoocqsaoe,M482FOI,00000000881,25724
08052020,pekvsblwsp,BQ56I3Q,00000000370,39961
08052020,xubillqdah,AYP1C8V,00000000409,28800
08052020,xyqkeucbam,8QEXLPK,00000000544,6078
08052020,hdmlrfgtae,YC96XYN,00000000891,20563
08052020,uoqldgabrm,WHHQASK,00000000207,9678
08052020,hekctgfgxq,LHNO10H,00000000420,31222
08052020,lvpjahvhmr,LB8BL5C,00000000391,6026
08052020,ejuxcmmaek,OGSKED0,00000000271,44359
08052020,hanjxzlwyn,3AI8OMB,00000000470,22979
08052020,pjfnsahhoq,EVPF8W6,00000000308,4440
08052020,dgqmllimnt,BJQ64E2,00000000201,1572
08052020,mnvuswvobz,JNEJDON,00000000300,23812
08052020,fulfkerotr,K8I0MP2,00000000743,35272
08052020,qkleaqhbkl,1YXCKNC,00000000165,18040
08052020,hxebqiqitt,F7DSA19,00000000871,20066
08052020,vubbqzxasd,R9ZHNO0,00000000284,32088
08052020,nrvpsyuklj,3WJSA5K,00000000862,30319
08052020,gnkvbanala,77K4JHP,00000000303,15931
08052020,xfhlcyeynf,246X19K,00000000594,34889
08052020,xccihzaaiz,EHTRXJI,00000000113,13918
08052020,vpvaugersy,UMFGI73,00000000129,14987
08052020,kygemlzuxu,7P2A772,00000000128,18758
08052020,iqfamrfkkp,JZMGHOB,00000000353,48013
08052020,mqpclwwqhy,5KHDF3E,00000000129,49265
08052020,dpjzmffbsq,UAK14JA,00000000793,41397
08052020,bbwsfcfjci,N98W1UV,00000000271,19579
08052020,fimrejkfty,5CVNYZV,00000000142,5175
08052020,othuvyqrbi,L64QMHE,00000000816,11728
08052020,tcfgbvnvsh,JVOS6XW,00000000499,23550
08052020,whhijhyiuj,5WH0QHI,00000000554,34187
08052020,lendyqsaor,H0MC52R,00000000780,6288
08052020,eeqofmwauu,QKC05WS,00000000844,18134
08052020,dtnyxdiqhe,OKJWYWT,00000000853,1705
08052020,krfqoyrxrq,B4L0SLH,00000000281,27569
08052020,uebyjhhdcu,01GG7EY,00000000587,8655
08052020,bjjahzlkps,BV3MOY8,00000000163,6262
08052020,qhjzwpexrv,7ZBWPQO,00000000148,275
08052020,tarlvgkkbs,ONNDLYP,00000000838,9555
08052020,adajssvqom,H59RG6S,00000000433,26054
08052020,gswbienbrg,6YKL9B2,00000000180,44687
08052020,rlqyafbelx,AKOVMWN,00000000175,13306
08052020,stzyeonwma,RU4TNXA,00000000725,30607
08052020,nhkeibxbhk,KNX37ED,00000000570,15906
08052020,ivqrqvswnh,HZ0I2XP,00000000127,47039
09052020,skxtbmorqg,0IHBN61,00000000747,45460
09052020,eubedwggra,S3BPJHL,00000000202,9119
09052020,lugraxgtdl,UXEF10Z,00000000668,6216
09052020,sufwetkndt,X9KQSIN,00000000500,9787
09052020,jvoocqsaoe,M482FOI,00000000754,30779
09052020,pekvsblwsp,BQ56I3Q,00000000223,35082
09052020,xubillqdah,AYP1C8V,00000000518,4712
09052020,xyqkeucbam,8QEXLPK,00000000868,36960
09052020,hdmlrfgtae,YC96XYN,00000000258,46127
09052020,uoqldgabrm,WHHQASK,00000000401,27432
09052020,hekctgfgxq,LHNO10H,00000000789,46250
09052020,lvpjahvhmr,LB8BL5C,00000000512,43757
09052020,ejuxcmmaek,OGSKED0,00000000279,35876
09052020,hanjxzlwyn,3AI8OMB,00000000361,10664
09052020,pjfnsahhoq,EVPF8W6,00000000128,27829
09052020,dgqmllimnt,BJQ64E2,00000000109,47733
09052020,mnvuswvobz,JNEJDON,00000000560,9804
09052020,fulfkerotr,K8I0MP2,00000000557,37840
09052020,qkleaqhbkl,1YXCKNC,00000000661,46824
09052020,hxebqiqitt,F7DSA19,00000000865,17999
09052020,vubbqzxasd,R9ZHNO0,00000000267,29917
09052020,nrvpsyuklj,3WJSA5K,00000000165,5827
09052020,gnkvbanala,77K4JHP,00000000862,6915
09052020,xfhlcyeynf,246X19K,00000000821,46191
09052020,xccihzaaiz,EHTRXJI,00000000509,2489
09052020,vpvaugersy,UMFGI73,00000000453,42932
09052020,kygemlzuxu,7P2A772,00000000180,22215
09052020,iqfamrfkkp,JZMGHOB,00000000607,42103
09052020,mqpclwwqhy,5KHDF3E,00000000102,43687
09052020,dpjzmffbsq,UAK14JA,00000000599,2673
09052020,bbwsfcfjci,N98W1UV,00000000758,4441
09052020,fimrejkfty,5CVNYZV,00000000231,28154
09052020,othuvyqrbi,L64QMHE,00000000820,46542
09052020,tcfgbvnvsh,JVOS6XW,00000000842,3940
09052020,whhijhyiuj,5WH0QHI,00000000534,36258
09052020,lendyqsaor,H0MC52R,00000000177,25161
09052020,eeqofmwauu,QKC05WS,00000000344,27838
09052020,dtnyxdiqhe,OKJWYWT,00000000632,42992
09052020,krfqoyrxrq,B4L0SLH,00000000649,41258
09052020,uebyjhhdcu,01GG7EY,00000000237,22033
09052020,bjjahzlkps,BV3MOY8,00000000239,47297
09052020,qhjzwpexrv,7ZBWPQO,00000000199,37585
09052020,tarlvgkkbs,ONNDLYP,00000000651,33351
09052020,adajssvqom,H59RG6S,00000000441,15282
09052020,gswbienbrg,6YKL9B2,00000000525,48126
09052020,rlqyafbelx,AKOVMWN,00000000843,22262
09052020,stzyeonwma,RU4TNXA,00000000551,36998
09052020,nhkeibxbhk,KNX37ED,00000000875,35665
09052020,ivqrqvswnh,HZ0I2XP,00000000131,29302
10052020,skxtbmorqg,0IHBN61,00000000593,33802
10052020,eubedwggra,S3BPJHL,00000000325,48135
10052020,lugraxgtdl,UXEF10Z,00000000399,49692
10052020,sufwetkndt,X9KQSIN,00000000215,24698
10052020,jvoocqsaoe,M482FOI,00000000190,7922
10052020,pekvsblwsp,BQ56I3Q,00000000611,13841
10052020,xubillqdah,AYP1C8V,00000000881,32345
10052020,xyqkeucbam,8QEXLPK,00000000496,27414
10052020,hdmlrfgtae,YC96XYN,00000000228,5994
10052020,uoqldgabrm,WHHQASK,00000000125,42403
10052020,hekctgfgxq,LHNO10H,00000000241,6848
10052020,lvpjahvhmr,LB8BL5C,00000000150,13637
10052020,ejuxcmmaek,OGSKED0,00000000181,4529
10052020,hanjxzlwyn,3AI8OMB,00000000397,18066
10052020,pjfnsahhoq,EVPF8W6,00000000730,34484
10052020,dgqmllimnt,BJQ64E2,00000000677,38403
10052020,mnvuswvobz,JNEJDON,00000000505,2904
10052020,fulfkerotr,K8I0MP2,00000000877,27505
10052020,qkleaqhbkl,1YXCKNC,00000000388,14325
10052020,hxebqiqitt,F7DSA19,00000000577,45429
10052020,vubbqzxasd,R9ZHNO0,00000000678,47088
10052020,nrvpsyuklj,3WJSA5K,00000000850,24659
10052020,gnkvbanala,77K4JHP,00000000502,16702
10052020,xfhlcyeynf,246X19K,00000000686,2060
10052020,xccihzaaiz,EHTRXJI,00000000335,20492
10052020,vpvaugersy,UMFGI73,00000000341,45166
10052020,kygemlzuxu,7P2A772,00000000786,32615
10052020,iqfamrfkkp,JZMGHOB,00000000167,44483
10052020,mqpclwwqhy,5KHDF3E,00000000589,19238
10052020,dpjzmffbsq,UAK14JA,00000000154,2967
10052020,bbwsfcfjci,N98W1UV,00000000703,11155
10052020,fimrejkfty,5CVNYZV,00000000159,42810
10052020,othuvyqrbi,L64QMHE,00000000622,15366
10052020,tcfgbvnvsh,JVOS6XW,00000000429,41227
10052020,whhijhyiuj,5WH0QHI,00000000636,41878
10052020,lendyqsaor,H0MC52R,00000000447,17060
10052020,eeqofmwauu,QKC05WS,00000000338,2719
10052020,dtnyxdiqhe,OKJWYWT,00000000514,34420
10052020,krfqoyrxrq,B4L0SLH,00000000188,12032
10052020,uebyjhhdcu,01GG7EY,00000000250,17651
10052020,bjjahzlkps,BV3MOY8,00000000798,34008
10052020,qhjzwpexrv,7ZBWPQO,00000000135,28575
10052020,tarlvgkkbs,ONNDLYP,00000000395,25643
